Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,Correlate
93,3/10/2020,6:00 PM,Punjab,1,0,0,0,1,0
94,3/10/2020,6:00 PM,Rajasthan,1,14,0,0,15,0
95,3/10/2020,6:00 PM,Tamil Nadu,1,0,0,0,1,0
96,3/10/2020,6:00 PM,Telengana,1,0,0,0,1,0
97,3/10/2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1,0
98,3/11/2020,6:00 PM,Maharashtra,2,0,0,0,2,0
99,3/11/2020,6:00 PM,Delhi,5,0,0,0,5,0
100,3/11/2020,6:00 PM,Haryana,0,14,0,0,14,0
101,3/11/2020,6:00 PM,Kerala,17,0,3,0,17,0
102,3/11/2020,6:00 PM,Rajasthan,1,2,0,0,3,0
103,3/11/2020,6:00 PM,Telengana,1,0,0,0,1,0
104,3/11/2020,6:00 PM,Uttar Pradesh,9,0,0,0,9,0
105,3/11/2020,6:00 PM,Ladakh,2,0,0,0,2,0
106,3/11/2020,6:00 PM,Tamil Nadu,1,0,0,0,1,0
107,3/11/2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1,0
108,3/11/2020,6:00 PM,Punjab,1,0,0,0,1,0
109,3/11/2020,6:00 PM,Karnataka,4,0,0,0,4,0
110,3/12/2020,6:00 PM,Delhi,6,0,0,0,6,0
111,3/12/2020,6:00 PM,Haryana,0,14,0,0,14,0
112,3/12/2020,6:00 PM,Kerala,17,0,3,0,17,0
113,3/12/2020,6:00 PM,Rajasthan,1,2,0,0,3,0
114,3/12/2020,6:00 PM,Telengana,1,0,0,0,1,0
115,3/12/2020,6:00 PM,Uttar Pradesh,10,1,0,0,11,0
116,3/12/2020,6:00 PM,Ladakh,3,0,0,0,3,0
117,3/12/2020,6:00 PM,Tamil Nadu,1,0,0,0,1,0
118,3/12/2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1,0
119,3/12/2020,6:00 PM,Punjab,1,0,0,0,1,0
120,3/12/2020,6:00 PM,Karnataka,4,0,0,0,4,0
121,3/12/2020,6:00 PM,Maharashtra,11,0,0,0,11,0
122,3/12/2020,6:00 PM,Andhra Pradesh,1,0,0,0,1,0
123,3/13/2020,6:00 PM,Delhi,6,0,0,0,6,0
124,3/13/2020,6:00 PM,Haryana,0,14,0,0,14,0
125,3/13/2020,6:00 PM,Kerala,19,0,3,0,19,0
126,3/13/2020,6:00 PM,Rajasthan,1,2,0,0,3,0
127,3/13/2020,6:00 PM,Telengana,1,0,0,0,1,0
128,3/13/2020,6:00 PM,Uttar Pradesh,10,1,0,0,11,0
129,3/13/2020,6:00 PM,Ladakh,3,0,0,0,3,0
130,3/13/2020,6:00 PM,Tamil Nadu,1,0,0,0,1,0
131,3/13/2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1,0
132,3/13/2020,6:00 PM,Punjab,1,0,0,0,1,0
133,3/13/2020,6:00 PM,Karnataka,6,0,0,1,6,0
134,3/13/2020,6:00 PM,Maharashtra,14,0,0,0,14,0
135,3/13/2020,6:00 PM,Andhra Pradesh,1,0,0,0,1,0
136,3/14/2020,6:00 PM,Delhi,7,0,1,1,7,0
137,3/14/2020,6:00 PM,Haryana,0,14,0,0,14,0
138,3/14/2020,6:00 PM,Kerala,19,0,3,0,19,0
139,3/14/2020,6:00 PM,Rajasthan,1,2,1,0,3,0
140,3/14/2020,6:00 PM,Telengana,1,0,0,0,1,0
141,3/14/2020,6:00 PM,Uttar Pradesh,11,1,5,0,12,0
